trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN008973F5205212675,11:13:00,11:16:00,StopPoint:OCETGV-87484006,2,"",0,0,
OCESN008973F5205212675,11:54:00,12:05:00,StopPoint:OCETGV-87481002,3,"",0,0,
OCESN008973F5205212675,12:46:00,12:49:00,StopPoint:OCETGV-87486019,4,"",0,0,
OCESN008973F5205212675,13:14:00,13:14:00,StopPoint:OCETGV-87486449,5,"",0,0,
OCESN008973F1401412674,09:38:00,09:38:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008973F1401412674,10:34:00,10:37:00,StopPoint:OCETGV-87396002,1,"",0,0,
OCESN008973F1401412674,11:14:00,11:17:00,StopPoint:OCETGV-87484006,2,"",0,0,
OCESN008973F1401412674,11:54:00,12:05:00,StopPoint:OCETGV-87481002,3,"",0,0,
OCESN008973F1401412674,12:44:00,12:47:00,StopPoint:OCETGV-87486019,4,"",0,0,
OCESN008973F1401412674,13:13:00,13:13:00,StopPoint:OCETGV-87486449,5,"",0,0,
OCESN008827F1401412497,21:01:00,21:01:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008827F1401412497,22:23:00,22:34:00,StopPoint:OCETGV INOUI-87484006,1,"",0,0,
OCESN008827F1401412497,23:12:00,23:12:00,StopPoint:OCETGV INOUI-87481002,2,"",0,0,
OCESN008819F1601612478,17:48:00,17:48:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
