Origine;Destination;Prix d'appel  2nde;Plein tarif Loisir couchette 2nde;Plein tarif Loisir couchette 1ère;Plein tarif Loisir  Siège inclinable
GRAMAT;ROCAMADOUR PADIRAC;;2.4;3.5;2.4
ASSIER;ROCAMADOUR PADIRAC;;5.7;8.5;5.7
PAMIERS;AUTERIVE (31);;7.0;10.5;7.0
FOIX;SAVERDUN;;7.5;11.3;7.5
CARMAUX;AUBIN;;20.4;30.5;20.4
PORTE PUYMORENS;FOIX;;12.9;19.3;12.9
PAU;TARBES;;11.7;17.5;11.7
BIARRITZ;MONTREJEAU GOURDAN POLIGNAN;15.0;35.5;53.2;35.5
NICE VILLE;PARIS GARE DE LYON;35.0;160.0;247.0;129.0
PARIS GARE DE LYON;VEYNES DEVOLUY;35.0;139.0;208.0;104.0
PARIS BERCY;VEYNES DEVOLUY;35.0;139.0;208.0;104.0
CARMAUX;VIVIEZ DECAZEVILLE;;20.9;31.4;20.9
BRIANCON;VEYNES DEVOLUY;;19.2;28.7;19.2
AX LES THERMES;LIMOGES BENEDICTINS;35.0;101.0;148.0;58.6
LIMOGES BENEDICTINS;VIERZON VILLE;15.0;32.0;48.0;32.0
GOURDON;LES AUBRAIS - ORLÉANS;35.0;107.0;157.0;69.0
CAHORS;LES AUBRAIS - ORLÉANS;35.0;107.0;157.0;69.0
ST CHRISTOPHE;CRANSAC;;3.5;5.3;3.5
SAVERDUN;AUTERIVE (31);;3.7;5.6;3.7
BIARRITZ;TARBES;;29.4;44.0;29.4
ALBI VILLE;LES AUBRAIS - ORLÉANS;35.0;111.0;158.0;82.0
GRAMAT;PARIS AUSTERLITZ;35.0;124.0;177.0;80.0
CHORGES;VEYNES DEVOLUY;;9.0;13.4;9.0
