Origine;Destination;Prix d'appel  2nde;Tarif normal 2nde;Tarif normal 1ère;empty;empty
BORDEAUX ST JEAN;NIVERSAC;;24.1;36.1;;
LOURDES;BAYONNE;10;24.6;37.0;;
PARIS SAINT LAZARE;BEAUMONT LE ROGER;;24.6;37.0;;
PÉRIGUEUX;MEYMAC;;26.4;39.6;;
CREIL;CAMBRAI;;26.7;40.1;;
PARIS SAINT LAZARE;BERNAY;10;27.2;40.8;;
SALBRIS;MONTLUÇON;10;27.6;41.3;;
ROMILLY;LANGRES;10;27.9;41.9;;
TOULOUSE MATABIAU;LOURDES;10;29.5;44.2;;
VERSAILLES-CHANTIERS;ARGENTAN;10;29.7;44.6;;
NANTES;TOURS;10;31.5;47.3;;
PÉRIGUEUX;USSEL;10;31.7;47.6;;
ISSOIRE;GRAND COMBES-LA PISE;10;32.7;49.0;;
VENDEUVRE;LURE;10;33.2;49.8;;
MONTPON-MÉNESTÉROL;USSEL;10;34.2;51.2;;
BAR SUR AUBE;BELFORT;10;34.5;51.8;;
LES AUBRAIS;MONTLUÇON;10;34.6;51.9;;
DREUX;FOLLIGNY;10;35.7;53.6;;
VIERZON;SAINT FLORENT SUR CHER;15;37.1;55.6;;
LA ROCHELLE;CHATELAILLON;;2.8;4.1;;
NOGENT SUR SEINE;ROMILLY;;4.6;6.9;;
ARGENTAN;SÉES;;5.5;8.2;;
ISSOIRE;BRIOUDE;;7.7;11.5;;
JONZAC;ST MARIENS;;8.3;12.5;;
NOYON;ST QUENTIN;;9.5;14.2;;
TERGNIER;BUSIGNY;;10.1;15.1;;
CONDAT LE LARDIN;TULLE (+ REBROUSSEMENT);;10.4;15.6;;
NEVERS;MOULINS SUR ALLIER;;11.7;17.5;;
GRAND COMBES-LA PISE;NÎMES;;12.0;18.0;;
SAINTES;MONTENDRE;;12.6;18.9;;
BRÉVAL;BEAUMONT LE ROGER;;13.6;20.5;;
NEMOURS;BRIARE;;14.5;21.8;;
VERNEUIL-SUR-AVRE;ARGENTAN;;14.8;22.2;;
HENDAYE;ORTHEZ;;18.0;26.9;;
DREUX;SURDON;;18.0;26.9;;
BAYONNE;PAU;10;18.6;27.8;;
NIVERSAC;CORRÈZE;;18.7;28.1;;
BOURGES;MONTLUÇON;;19.2;28.7;;
TOURS;VIERZON;;20.2;30.3;;
VERNON;BRÉAUTÉ-BEUZEVILLE;;21.8;32.7;;
PAU;ST GAUDENS;;22.2;33.3;;
PONT STE MAXENCE;AULNOYE;10;26.6;39.9;;
SAINCAIZE;ROANNE;;26.9;40.3;;
MONTPON-MÉNESTÉROL;TERRASSON;;18.7;28.1;;
BRIOUDE;GRAND COMBES-LA PISE;10;28.5;42.8;;
VICHY;LYON PART DIEU;10;28.9;43.3;;
ROMILLY;CULMONT CHALINDREY;10;29.2;43.9;;
BRIOUDE;ALÈS;10;30.1;45.1;;
ISSOIRE;GÉNOLHAC;10;30.3;45.5;;
NOGENT SUR SEINE;LANGRES;10;30.3;45.5;;
RIOM;LYON PART DIEU;10;33.8;50.7;;
CLERMONT FERRAND;LYON PART DIEU;10;35.5;53.2;;
PARIS GARE DE BERCY;NEMOURS;20;45.1;67.6;;
ST JEAN DE LUZ CIBOURE;TOULOUSE MATABIAU;20;49.3;74.0;;
LYON PERRACHE;ST PIERRE DES CORPS;15;62.7;94.1;;
LANGRES;CULMONT CHALINDREY;;3.0;4.4;;
NOYON;CHAUNY;;3.9;5.9;;
EGLETONS;MEYMAC;;4.2;6.3;;
